,time,mag_x,mag_y,mag_z,lat,long,elevation,day/night
449,2023-04-23 03:57:18.489816,43.90441,-2.35196,-8.18229,-5.940509976779448,155.63839269341756,414.65878771492254,Day
450,2023-04-23 03:57:25.964332,43.93393,-2.13384,-8.35598,-6.320529090004169,155.91037429636788,414.71175681924376,Day
451,2023-04-23 03:57:33.435980,44.07993,-2.12887,-8.56363,-6.700210218993255,156.18268537762253,414.7664174959461,Day
452,2023-04-23 03:57:40.908652,44.14509,-2.1818,-8.89048,-7.079741961083818,156.45549627752172,414.8227880707978,Day
453,2023-04-23 03:57:48.392120,44.27926,-2.10232,-9.22782,-7.459604075870531,156.72918883467273,414.8809353020157,Day
454,2023-04-23 03:57:55.880962,44.26363,-1.84784,-9.45288,-7.839542472852607,157.00361795378265,414.94081707377325,Day
455,2023-04-23 03:58:03.377637,44.33993,-1.94866,-9.65583,-8.219633211983558,157.27887655850756,415.0024406744089,Day
456,2023-04-23 03:58:10.852823,44.24875,-1.92975,-9.97273,-8.598385655727778,157.55391932534226,415.0655499320315,Day
457,2023-04-23 03:58:18.327611,44.30018,-1.96824,-10.25458,-8.976859470716438,157.82954875997186,415.13030383319426,Day
458,2023-04-23 03:58:25.810475,44.37329,-1.99198,-10.60973,-9.355482753336778,158.10611444969047,415.1967678332948,Day
459,2023-04-23 03:58:33.316132,44.33978,-1.97572,-10.66856,-9.734979377849198,158.38418736685873,415.2650686368449,Day
460,2023-04-23 03:58:40.805795,44.27273,-1.84984,-11.10254,-10.113367035536836,158.66235341369386,415.33484049141293,Day
461,2023-04-23 03:58:48.310667,44.3636,-1.94622,-11.4974,-10.492213580684338,158.9418026175693,415.40636053347106,Day
462,2023-04-23 03:58:55.815383,44.30937,-1.87159,-12.05056,-10.87074149555903,159.22200224820236,415.47947501809546,Day
463,2023-04-23 03:59:03.330956,44.35196,-1.83396,-12.38818,-11.249477390110442,159.50338256071026,415.55427680864375,Day
464,2023-04-23 03:59:10.834325,44.39991,-1.73136,-12.5837,-11.62726774694511,159.78512485224437,415.6305249466025,Day
465,2023-04-23 03:59:18.342969,44.38983,-1.62353,-13.1154,-12.00495421788967,160.0678941890463,415.70837396075854,Day
466,2023-04-23 03:59:25.854429,44.47117,-1.49644,-13.31551,-12.382421626885446,160.35164531905178,415.7877892828437,Day
467,2023-04-23 03:59:33.347455,44.3789,-1.30796,-13.47627,-12.758576592851227,160.63559214169817,415.86852216894135,Day
468,2023-04-23 03:59:40.836706,44.29657,-1.22694,-13.79298,-13.134153158955247,160.9203230980565,415.9507090795018,Day
469,2023-04-23 03:59:48.321095,44.19678,-1.27898,-14.17054,-13.50907484738,161.20581793552944,416.0343162645293,Day
470,2023-04-23 03:59:55.813446,44.3998,-1.31662,-14.41056,-13.883985732527993,161.49260816030497,416.1194737453966,Day
471,2023-04-23 04:00:03.323183,44.50349,-1.15288,-14.82548,-14.259326735678716,161.7810785271907,416.20627460870645,Day
472,2023-04-23 04:00:10.824261,44.62997,-1.05353,-15.04726,-14.633794314494919,162.0702707654122,416.29440481438394,Day
473,2023-04-23 04:00:18.324306,44.63217,-1.05647,-15.3643,-15.007743445272713,162.36049789929285,416.3839293610723,Day
474,2023-04-23 04:00:25.803179,44.57992,-1.03302,-15.75795,-15.380167052480761,162.6510136783156,416.4745846177414,Day
475,2023-04-23 04:00:33.306581,44.73688,-0.87705,-15.80235,-15.753326812664358,162.9436257077985,416.56690604742204,Day
476,2023-04-23 04:00:40.815504,44.88932,-0.7519,-16.02718,-16.12626008180326,163.2376312099826,416.6606480292181,Day
477,2023-04-23 04:00:48.316155,44.87907,-0.69085,-16.41059,-16.498265168325602,163.5325194611381,416.75561668076614,Day
478,2023-04-23 04:00:55.820365,44.90602,-0.74878,-16.78998,-16.869908983833966,163.82878206141385,416.85193834616763,Day
479,2023-04-23 04:01:03.297168,44.9769,-0.65323,-17.0526,-17.239666300895113,164.1252392345024,416.94919377125603,Day
480,2023-04-23 04:01:10.774931,44.90017,-0.58503,-17.07616,-17.608910845746973,164.42302774956582,417.04771948673243,Day
481,2023-04-23 04:01:18.254340,45.09027,-0.54224,-17.28479,-17.977665345404322,164.72221160053732,417.1475047549375,Day
